transaction_id,customer_id,amount,category,transaction_date
1,83,2946.03,Food,2026-01-03 12:49:41.401844
2,36,4818.45,Shopping,2025-07-09 12:49:41.401844
3,62,-956.08,Travel,2026-01-14 12:49:41.401844
4,55,464.22,Travel,2025-05-20 12:49:41.401844
5,84,462.5,Rent,2025-04-29 12:49:41.401844
6,35,2931.34,Travel,2025-05-25 12:49:41.401844
7,71,4553.09,Bills,2025-10-02 12:49:41.401844
8,83,-703.47,Food,2025-12-30 12:49:41.401844
9,1,-2566.44,Rent,2026-03-07 12:49:41.401844
10,69,-4114.77,Bills,2025-12-27 12:49:41.401844
11,36,2816.77,Bills,2026-02-02 12:49:41.401844
12,53,4259.95,Food,2026-01-21 12:49:41.401844
13,50,3530.83,Bills,2025-04-01 12:49:41.401844
14,68,4507.58,Shopping,2025-05-20 12:49:41.401844
15,58,2794.25,Food,2025-06-23 12:49:41.401844
16,100,-3422.33,Bills,2026-01-28 12:49:41.401844
17,64,3672.91,Rent,2025-08-11 12:49:41.401844
18,48,-4995.47,Rent,2025-04-14 12:49:41.401844
19,10,-1398.03,Rent,2025-09-10 12:49:41.401844
20,21,-3640.8,Food,2025-12-30 12:49:41.401844
21,53,-3319.12,Bills,2025-04-26 12:49:41.401844
22,79,-2376.81,Shopping,2025-05-10 12:49:41.401844
23,85,1322.11,Shopping,2025-11-27 12:49:41.401844
24,37,1670.29,Travel,2025-10-05 12:49:41.401844
25,67,-4291.19,Bills,2025-08-03 12:49:41.401844
26,23,1104.56,Shopping,2025-06-10 12:49:41.401844
27,36,-4202.15,Rent,2026-02-15 12:49:41.401844
28,43,4417.27,Bills,2026-02-22 12:49:41.401844
29,1,246.15,Bills,2026-03-25 12:49:41.401844
30,49,2633.63,Travel,2025-05-07 12:49:41.401844
31,56,4283.2,Shopping,2025-05-29 12:49:41.401844
32,27,4265.94,Rent,2026-01-21 12:49:41.401844
33,94,2525.5,Travel,2025-10-26 12:49:41.401844
34,23,945.81,Bills,2025-08-28 12:49:41.401844
35,84,579.71,Food,2025-08-15 12:49:41.401844
36,16,-3633.18,Rent,2025-04-16 12:49:41.401844
37,43,2995.4,Rent,2026-02-22 12:49:41.401844
38,79,934.93,Bills,2025-08-09 12:49:41.401844
39,42,-3674.18,Bills,2025-07-25 12:49:41.401844
40,61,-2089.6,Travel,2025-04-08 12:49:41.401844
41,24,-3659.09,Rent,2025-09-21 12:49:41.401844
42,50,-3611.14,Shopping,2025-05-08 12:49:41.401844
43,42,-3102.5,Food,2025-06-05 12:49:41.401844
44,48,2027.36,Rent,2025-10-31 12:49:41.401844
45,12,-1998.73,Travel,2025-04-12 12:49:41.401844
46,23,-1532.57,Food,2026-01-14 12:49:41.401844
47,7,-2977.13,Travel,2025-12-22 12:49:41.401844
48,7,4803.37,Shopping,2025-08-21 12:49:41.401844
49,26,174.34,Rent,2025-10-26 12:49:41.401844
50,43,-3837.74,Shopping,2026-01-01 12:49:41.401844
51,11,-273.51,Rent,2025-07-19 12:49:41.401844
52,11,-4391.74,Shopping,2025-07-08 12:49:41.401844
53,95,-3976.48,Travel,2025-11-29 12:49:41.401844
54,81,1732.65,Travel,2025-04-11 12:49:41.401844
55,5,-4793.69,Rent,2025-10-04 12:49:41.401844
56,44,-3207.59,Travel,2025-10-19 12:49:41.401844
57,42,-1455.48,Food,2026-01-09 12:49:41.401844
58,1,-1161.54,Rent,2025-04-16 12:49:41.401844
59,6,-2974.03,Travel,2025-10-26 12:49:41.401844
60,62,4882.36,Food,2026-01-15 12:49:41.401844
61,64,-3927.87,Shopping,2026-01-25 12:49:41.401844
62,94,-2253.97,Travel,2025-12-13 12:49:41.401844
63,99,-3562.48,Shopping,2025-04-07 12:49:41.401844
64,94,2557.57,Shopping,2026-02-12 12:49:41.401844
65,58,4690.45,Travel,2025-12-22 12:49:41.401844
66,76,730.26,Food,2025-03-26 12:49:41.401844
67,45,4997.04,Food,2025-09-30 12:49:41.401844
68,100,1138.95,Bills,2026-01-29 12:49:41.401844
69,53,-684.73,Bills,2025-09-17 12:49:41.401844
70,78,3433.28,Shopping,2025-11-08 12:49:41.401844
71,8,-696.26,Bills,2025-12-07 12:49:41.401844
72,35,-4206.08,Food,2026-02-06 12:49:41.401844
73,45,3568.22,Shopping,2025-03-26 12:49:41.401844
74,68,-3083.28,Shopping,2025-06-27 12:49:41.401844
75,9,2547.23,Shopping,2026-02-23 12:49:41.401844
76,10,4269.05,Rent,2026-01-03 12:49:41.401844
77,91,4206.94,Bills,2025-08-23 12:49:41.401844
78,63,-1633.34,Food,2025-04-23 12:49:41.401844
79,68,2596.07,Food,2025-05-31 12:49:41.401844
80,80,2505.15,Travel,2026-03-21 12:49:41.401844
81,13,2148.82,Bills,2025-06-19 12:49:41.401844
82,65,4156.12,Shopping,2025-07-14 12:49:41.401844
83,5,-3407.17,Food,2025-08-07 12:49:41.401844
84,57,-3974.83,Rent,2026-03-13 12:49:41.401844
85,70,1343.27,Bills,2025-07-07 12:49:41.401844
86,28,-2216.42,Shopping,2025-04-26 12:49:41.401844
87,95,-1589.36,Travel,2026-03-16 12:49:41.401844
88,14,-2874.71,Rent,2025-05-18 12:49:41.401844
89,21,-1336.57,Food,2025-09-04 12:49:41.401844
90,60,2299.96,Bills,2025-11-20 12:49:41.401844
91,83,-2152.17,Travel,2025-05-18 12:49:41.401844
92,91,-2840.71,Bills,2025-11-15 12:49:41.401844
93,30,432.17,Food,2025-10-16 12:49:41.401844
94,26,1840.76,Travel,2025-04-22 12:49:41.401844
95,92,-3197.67,Food,2026-01-01 12:49:41.401844
96,51,2650.08,Food,2025-05-18 12:49:41.401844
97,38,2109.39,Shopping,2025-07-17 12:49:41.401844
98,27,4958.28,Travel,2025-11-25 12:49:41.401844
99,77,-3685.01,Travel,2025-04-30 12:49:41.401844
100,34,2035.08,Bills,2025-12-24 12:49:41.401844
101,47,2540.18,Rent,2026-01-09 12:49:41.401844
102,36,-3840.51,Food,2025-12-07 12:49:41.401844
103,59,2480.45,Bills,2025-08-09 12:49:41.401844
104,26,-3747.09,Shopping,2025-05-18 12:49:41.401844
105,19,-3933.68,Rent,2025-04-13 12:49:41.401844
106,52,-516.63,Food,2025-12-03 12:49:41.401844
107,98,-3916.66,Shopping,2026-02-10 12:49:41.401844
108,18,-1581.55,Shopping,2026-03-16 12:49:41.401844
109,81,1683.07,Bills,2026-01-30 12:49:41.401844
110,6,3890.0,Rent,2026-02-23 12:49:41.401844
111,46,2738.96,Shopping,2025-06-26 12:49:41.401844
112,45,-2680.46,Bills,2025-06-21 12:49:41.401844
113,51,-3271.97,Food,2025-09-13 12:49:41.401844
114,19,153.43,Rent,2025-11-21 12:49:41.401844
115,21,-1015.02,Shopping,2025-07-13 12:49:41.401844
116,52,-4917.0,Travel,2025-06-07 12:49:41.401844
117,36,1199.56,Food,2025-05-09 12:49:41.401844
118,8,218.84,Shopping,2025-05-05 12:49:41.401844
119,45,1109.28,Shopping,2025-10-30 12:49:41.401844
120,26,-4382.15,Shopping,2026-02-15 12:49:41.401844
121,94,3391.68,Bills,2025-08-18 12:49:41.401844
122,19,-3022.64,Shopping,2026-03-21 12:49:41.401844
123,86,-385.6,Shopping,2026-01-21 12:49:41.401844
124,59,-1781.78,Shopping,2025-09-08 12:49:41.401844
125,20,3475.88,Bills,2025-08-05 12:49:41.401844
126,2,-3693.28,Food,2026-02-04 12:49:41.401844
127,55,-2592.82,Shopping,2025-09-28 12:49:41.401844
128,90,3976.96,Travel,2026-01-23 12:49:41.401844
129,68,4903.22,Travel,2025-11-16 12:49:41.401844
130,20,-1749.34,Travel,2026-02-11 12:49:41.401844
131,96,3002.86,Food,2025-12-07 12:49:41.401844
132,12,-4186.48,Rent,2025-12-01 12:49:41.401844
133,68,4285.45,Bills,2025-07-13 12:49:41.401844
134,97,4733.15,Rent,2026-03-04 12:49:41.401844
135,43,4530.35,Bills,2025-04-19 12:49:41.401844
136,23,-2802.77,Food,2026-01-06 12:49:41.401844
137,80,458.49,Rent,2026-01-16 12:49:41.401844
138,39,-3839.67,Bills,2025-05-20 12:49:41.401844
139,24,-3505.31,Shopping,2025-11-17 12:49:41.401844
140,96,-3686.07,Rent,2026-02-01 12:49:41.401844
141,44,2380.02,Rent,2025-07-16 12:49:41.401844
142,94,-3245.38,Rent,2025-11-08 12:49:41.401844
143,89,2683.17,Rent,2025-06-21 12:49:41.401844
144,33,157.99,Shopping,2025-04-29 12:49:41.401844
145,48,4381.42,Bills,2025-11-09 12:49:41.401844
146,45,-1466.43,Rent,2026-03-10 12:49:41.401844
147,70,104.9,Shopping,2025-05-21 12:49:41.401844
